headword,CEFR,freq,len,syl
bankruptcy,B2,4.11,10,3
bar,A1,4.94,3,1
bar,B1,4.94,3,1
barbecue,A2,3.62,8,3
barbecue,B1,3.62,8,3
barber,A2,3.81,6,2
barbershop,B2,2.99,10,3
bare,B1,4.18,4,1
bare,B2,4.18,4,1
barely,B1,4.49,6,2
bargain,A2,3.95,7,2
bargain,B2,3.95,7,2
bark,B1,3.85,4,1
bark,B2,3.85,4,1
barley,B2,3.49,6,2
barman,B1,2.77,6,2
barn,B2,3.99,4,1
barometer,B2,3.18,9,4
barrel,B1,4.17,6,2
barren,B2,3.4,6,2
barrier,B2,4.15,7,3
bartender,B2,3.5,9,3
base,A2,5.05,4,1
base,B1,5.05,4,1
baseball,A1,4.54,8,2
basement,B1,4.18,8,2
basic,A2,4.89,5,2
basically,A2,4.63,9,3
basin,B1,4.08,5,2
basis,B1,4.81,5,2
basket,A2,4.07,6,2
basketball,A1,4.56,10,3
bat,A1,4.3,3,1
bat,B1,4.3,3,1
batch,A2,3.91,5,1
bath,A1,4.44,4,1
bathe,B1,3.22,5,1
bathhouse,B2,2.66,9,2
bathroom,A1,4.54,8,2
battery,A2,4.52,7,3
battlefield,B2,3.93,11,3
bay,A2,4.73,3,1
be,A1,6.79,2,1
beach,A1,4.92,5,1
beagle,B2,3.06,6,2
beak,B2,3.3,4,1
beam,B2,4.14,4,1
bean,A1,3.98,4,1
bear,A1,4.71,4,1
bear,A2,4.71,4,1
beard,B1,4.07,5,1
bearing,B2,4.22,7,2
beast,B1,4.29,5,1
beat,B2,5.01,4,1
beat,B1,5.01,4,1
beautiful,A1,5.22,9,3
beautifully,B1,3.92,11,3
beautify,B2,2.51,8,3
beauty,A2,4.75,6,2
beaver,B1,3.61,6,2
because,A1,6.03,7,2
because of,B1,6.01,10,3
become,A1,5.4,6,2
bed,A1,5.07,3,1
bedroom,A1,4.46,7,2
bedside,B1,3.35,7,2
bee,A1,4.09,3,1
beef,A1,4.29,4,1
been,A2,6.27,4,1
beer,A2,4.7,4,1
before,A1,5.93,6,2
before,A2,5.93,6,2
before,A1,5.93,6,2
beg,A2,4.05,3,1
begin,A1,4.84,5,2
beginner,A2,3.52,8,3
beginning,A2,5.0,9,3
behalf,B1,4.42,6,2
behave,B1,4.0,6,2
behavior/behaviour,A2,4.19,18,5
behind,A1,5.29,6,2
behind,A1,5.29,6,2
being,A2,5.95,5,2
belief,B1,4.46,6,2
believe,A1,5.51,7,2
bell,A1,4.59,4,1
bellow,B2,2.79,6,2
belly,A2,4.1,5,2
belong,A2,4.38,6,2
belongings,B2,3.56,10,3
beloved,B1,4.17,7,2
below,A1,5.05,5,2
below,A1,5.05,5,2
belt,A2,4.42,4,1
bench,A2,4.39,5,1
bend,B2,4.13,4,1
bend,A2,4.13,4,1
beneath,B1,4.24,7,2
beneficial,B2,4.08,10,4
benefit,B1,4.82,7,3
benefit,B2,4.82,7,3
benevolence,B2,2.78,11,4
benevolent,B2,3.34,10,4
bent,B1,3.99,4,1
berry,B2,3.97,5,2
beside,A1,4.19,6,2
besides,A2,4.63,7,2
besides,B1,4.63,7,2
best,A1,5.84,4,1
best,A1,5.84,4,1
bestow,B2,2.98,6,2
bestseller,B2,3.34,10,3
bet,B1,4.79,3,1
betray,B2,3.42,6,2
better,A1,5.76,6,2
better,A2,5.76,6,2
between,A1,5.77,7,2
bewilder,B2,1.74,8,3
bewilderment,B2,2.63,12,4
beyond,A2,4.98,6,2
bicycle,A1,3.98,7,3
bid,B2,4.4,3,1
bidding,B2,3.81,7,2
big,A1,5.67,3,1
bike,A1,4.53,4,1
bikini,B2,3.7,6,3
bilingual,B1,3.52,9,3
bill,A2,5.15,4,1
bill,B1,5.15,4,1
billion,B2,4.75,7,2
bin,B1,4.22,3,1
bind,B2,3.75,4,1
bio,B2,4.07,3,2
biochemistry,B1,3.36,12,5
biography,B1,3.89,9,4
biological,B2,4.31,10,5
biology,B1,4.22,7,4
biotechnology,B2,3.42,13,6
bird,A1,4.63,4,1
birdcage,B2,2.45,8,2
birth,A1,4.77,5,1
birthday,A1,4.76,8,2
birthplace,B2,3.37,10,2
biscuit,A1,3.45,7,2
bishop,B1,4.38,6,2
bit,A2,5.37,3,1
bite,A2,4.31,4,1
bite,B1,4.31,4,1
bitter,B1,4.21,6,2
bitterly,B2,3.29,8,3
bizarre,B2,4.02,7,2
black,A1,5.46,5,1
black,A1,5.46,5,1
blackboard,A2,3.02,10,2
blade,B2,4.19,5,1
blame,B1,4.63,5,1
blame,A2,4.63,5,1
blank,A1,4.14,5,1
blanket,A2,4.07,7,2
blast,B2,4.32,5,1
blast,B2,4.32,5,1
blaze,B2,3.69,5,1
blaze,B2,3.69,5,1
bleed,B1,3.72,5,1
blend,B2,3.95,5,1
blend,B1,3.95,5,1
bless,B1,4.17,5,1
blessing,B1,4.06,8,2
blind,B1,4.52,5,1
blindly,B2,3.32,7,2
blindness,B2,3.44,9,2
blink,B2,3.73,5,1
block,A1,4.88,5,1
block,B1,4.88,5,1
blog,B1,4.73,4,1
blogger,B1,3.85,7,2
blonde,A2,4.04,6,1
blood,A2,5.1,5,1
bloodstream,B2,3.16,11,2
bloody,B2,4.28,6,2
bloody,B2,4.28,6,2
bloom,A2,3.93,5,1
blooming,B2,3.33,8,2
blossom,B2,3.62,7,2
blow,A2,4.59,4,1
blow,A1,4.59,4,1
blue,A1,5.13,4,1
blue,A1,5.13,4,1
blur,B2,3.55,4,1
blurt,B2,2.48,5,1
blush,B1,3.56,5,1
blush,B2,3.56,5,1
board,A1,5.24,5,1
board,B1,5.24,5,1
board game,A2,5.12,10,2
boast,B1,3.51,5,1
boat,A1,4.71,4,1
body,A1,5.4,4,2
boil,A2,3.83,4,1
boiled,A2,3.68,6,1
boiling,B2,3.75,7,2
bold,B1,4.26,4,1
bold,B2,4.26,4,1
boldly,B1,3.28,6,2
bolt,B2,4.04,4,1
bolt,B2,4.04,4,1
bomb,B1,4.6,4,1
bomb,B1,4.6,4,1
bombard,B2,2.74,7,2
bomber,B2,3.88,6,2
bombing,B2,4.09,7,2
bond,B1,4.59,4,1
bone,A1,4.47,4,1
bonus,A2,4.45,5,2
bony,B2,3.25,4,2
book,A1,5.43,4,1
book,B1,5.43,4,1
bookcase,A2,2.78,8,2
booking,B1,3.86,7,2
bookish,B2,2.57,7,2
booklet,B2,3.53,7,2
bookmark,B2,3.04,8,2
bookmark,B2,3.04,8,2
bookshelf,A2,2.92,9,2
bookshop,A2,3.11,8,2
bookstore,A1,3.42,9,2
boom,B1,4.33,4,1
boost,B2,4.41,5,1
boost,B2,4.41,5,1
boot,B1,4.19,4,1
booth,B2,4.1,5,1
border,B1,4.7,6,2
bore,B1,3.93,4,1
bored,A2,4.2,5,1
boredom,B1,3.46,7,2
boring,A1,4.43,6,2
borrow,A1,4.0,6,2
boss,A2,4.76,4,1
bossy,B2,2.97,5,2
botany,B2,3.38,6,3
both,A1,5.79,4,1
both,A1,5.79,4,1
both,A1,5.79,4,1
bother,B1,4.39,6,2
bother,A2,4.39,6,2
bothered,B2,3.96,8,2
bothersome,B2,2.68,10,3
bottle,A1,4.57,6,2
bottle,B2,4.57,6,2
bottom,A1,4.84,6,2
bounce,B2,4.02,6,1
bounce,B1,4.02,6,1
bound,B1,4.46,5,1
bourbon,B2,3.6,7,2
bow,B1,4.3,3,1
bow,B2,4.3,3,1
bowl,A1,4.63,4,1
bowl,B1,4.63,4,1
box,A1,5.04,3,1
boxer,B2,3.74,5,2
boxing,B1,4.17,6,2
boy,A1,5.17,3,1
boyfriend,A1,4.59,9,2
bra,A2,3.85,3,1
bracelet,B1,3.7,8,2
bracket,B2,3.84,7,2
brag,B2,3.49,4,1
brain,A1,4.94,5,1
brainstorm,A2,2.85,10,2
brainstorming,B1,2.92,13,3
brake,A2,3.95,5,1
brake,B2,3.95,5,1
branch,A2,4.58,6,1
branch,B1,4.58,6,1
brand,A2,4.83,5,1
brand-new,B1,4.81,9,2
brass,B1,4.05,5,1
bravely,B1,3.27,7,2
bravery,B2,3.59,7,3
bread,A1,4.5,5,1
break,A2,5.18,5,1
break,A1,5.18,5,1
breakable,B2,2.42,9,3
breakdown,B2,4.1,9,2
breakfast,A1,4.61,9,2
breakthrough,B1,3.83,12,2
breakup,B2,3.64,7,2
breast,B1,4.35,6,1
breath,B1,4.52,6,1
breathe,A1,4.26,7,1
breathless,B1,3.19,10,2
breathtaking,B2,3.6,12,3
breed,B2,4.08,5,1
breed,B1,4.08,5,1
breeding,B1,4.08,8,2
breeze,A2,3.86,6,1
breezy,B2,3.12,6,2
brewery,B2,3.66,7,3
brick,B1,4.25,5,1
bride,A2,4.08,5,1
bridge,A1,4.77,6,1
briefly,B1,4.22,7,2
bright,A1,4.61,6,1
brightly,B1,3.44,8,2
brilliant,A2,4.55,9,2
brilliantly,B2,3.46,11,3
bring,A1,5.27,5,1
broad,B1,4.53,5,1
broadband,B2,3.69,9,2
broadcast,B1,4.39,9,2
broadcast,B2,4.39,9,2
broadcaster,B2,3.63,11,3
broaden,B2,3.3,7,2
broadly,B2,3.82,7,2
broccoli,B1,3.5,8,3
brochure,B2,3.37,8,2
broken,A1,4.88,6,2
bronze,B1,4.2,6,1
brotherhood,B1,3.85,11,3
brother-in-law,B2,4.95,14,3
brown,A1,5.01,5,1
brown,A2,5.01,5,1
browse,B2,3.59,6,1
browser,B2,3.89,7,2
bruise,B2,3.18,6,1
brush,A1,4.23,5,1
brush,A1,4.23,5,1
bubble,B1,4.16,6,2
bucket,A1,4.07,6,2
bud,B2,4.08,3,1
buddy,B1,4.4,5,2
budget,B2,4.82,6,2
budget,A2,4.82,6,2
bug,A2,4.2,3,1
build,A1,5.04,5,1
builder,B1,3.85,7,2
building,A1,5.29,8,2
bulb,A2,3.66,4,1
bulimia,B2,2.72,7,4
bull,B1,4.34,4,1
bullet,B1,4.24,6,2
bulletin,B1,3.79,8,3
bully,B2,3.87,5,2
bum,B2,3.75,3,1
bump,B1,3.98,4,1
bumper,B2,3.69,6,2
bun,B2,3.56,3,1
bunch,B1,4.57,5,1
burden,B1,4.23,6,2
burden,B2,4.23,6,2
burdensome,B2,2.85,10,3
bureau,B1,4.41,6,2
bureaucracy,B2,3.55,11,4
burger,A1,4.07,6,2
burglar,B1,3.34,7,2
burglary,B2,3.44,8,3
burgle,B2,2.01,6,2
burial,B2,3.9,6,3
burn,A2,4.53,4,1
burn,B1,4.53,4,1
burning,B1,4.5,7,2
burst,B1,4.15,5,1
bury,A2,3.89,4,2
bus,A1,4.83,3,1
bus station,A2,4.61,11,3
bus stop,A2,4.75,8,2
bush,A2,4.49,4,1
business,A1,5.56,8,2
businessman,A2,3.95,11,3
businesswoman,A2,2.95,13,4
bust,B1,4.04,4,1
bustle,B2,2.98,6,2
bustling,B2,3.16,8,3
busy,A1,4.75,4,2
but,A1,6.63,3,1
but,B1,6.63,3,1
butcher,B1,3.75,7,2
butcher,B2,3.75,7,2
butter,A1,4.4,6,2
butterfly,A1,3.93,9,3
button,A1,4.56,6,2
buy,A1,5.32,3,1
buyer,B1,4.03,5,2
buzz,B2,4.05,4,1
buzz,B2,4.05,4,1
by,A1,6.66,2,1
bye,A1,4.39,3,1
cab,A2,3.95,3,1
cabbage,B1,3.55,7,2
cabin,B1,4.13,5,2
cabinet,B2,4.49,7,3
cafe/café,A1,3.59,9,2
cafeteria,A2,3.44,9,5
cage,B1,4.13,4,1
calculate,B1,3.87,9,3
calculation,B1,3.76,11,4
calculator,B1,3.56,10,4
calendar,A2,4.3,8,3
calf,B1,3.71,4,1
call,A1,5.51,4,1
call,A2,5.51,4,1
caller,B1,3.61,6,2
calm,B1,4.54,4,1
calmly,B2,3.56,6,2
calmness,B1,2.89,8,2
camel,B1,3.64,5,2
camera,A1,4.87,6,3
camp,A1,4.79,4,1
camp,A2,4.79,4,1
campaign,B2,5.0,8,2
camping,A2,4.0,7,2
campsite,B1,3.09,8,2
campus,A2,4.51,6,2
can,A1,6.46,3,1
can,A2,6.46,3,1
canal,B1,4.22,5,2
cancel,B1,4.18,6,2
